field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2020,specter2,scincl,25,100,0.3132
11,2020,specter2,scincl,50,100,0.3382
11,2020,specter2,scibert,10,100,0.124
11,2020,specter2,scibert,25,100,0.12960000000000002
11,2020,specter2,scibert,50,100,0.14679999999999999
11,2020,specter2,bert,10,100,0.08399999999999999
11,2020,specter2,bert,25,100,0.0956
11,2020,specter2,bert,50,100,0.1066
11,2020,specter2,mpnet,10,100,0.301
11,2020,specter2,mpnet,25,100,0.3172
11,2020,specter2,mpnet,50,100,0.33140000000000003
11,2020,specter2,minilm,10,100,0.257
11,2020,specter2,minilm,25,100,0.276
11,2020,specter2,minilm,50,100,0.2912
11,2020,specter2,pubmedbert,10,100,0.11000000000000001
11,2020,specter2,pubmedbert,25,100,0.11800000000000001
11,2020,specter2,pubmedbert,50,100,0.1278
11,2020,specter2,biobert,10,100,0.10900000000000001
11,2020,specter2,biobert,25,100,0.1216
11,2020,specter2,biobert,50,100,0.129
11,2020,specter2,simcse,10,100,0.08199999999999999
11,2020,specter2,simcse,25,100,0.0864
11,2020,specter2,simcse,50,100,0.096
11,2020,scincl,scibert,10,100,0.132
11,2020,scincl,scibert,25,100,0.1436
11,2020,scincl,scibert,50,100,0.155
11,2020,scincl,bert,10,100,0.092
11,2020,scincl,bert,25,100,0.1024
11,2020,scincl,bert,50,100,0.12
11,2020,scincl,mpnet,10,100,0.329
