field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,sep,neighbors25,biobert,abstract,0.6417333333333333,0.13727999999999996,0.5044533333333333
11,sep,neighbors25,simcse,title,0.7275155555555556,0.7973600000000001,-0.06984444444444449
11,sep,neighbors25,simcse,abstract,0.7275155555555556,0.23236,0.49515555555555557
11,sep,neighbors50,specter,title,0.5747422222222222,0.45396000000000003,0.12078222222222212
11,sep,neighbors50,specter,abstract,0.5747422222222222,0.22671999999999992,0.34802222222222223
11,sep,neighbors50,specter2,title,0.6269622222222222,0.48356,0.1434022222222222
11,sep,neighbors50,specter2,abstract,0.6269622222222222,0.24804000000000004,0.37892222222222216
11,sep,neighbors50,scincl,title,0.5806444444444445,0.45121999999999995,0.12942444444444456
11,sep,neighbors50,scincl,abstract,0.5806444444444445,0.18456000000000006,0.39608444444444446
11,sep,neighbors50,scibert,title,0.725231111111111,0.82064,-0.09540888888888899
11,sep,neighbors50,scibert,abstract,0.725231111111111,0.2659600000000001,0.45927111111111096
11,sep,neighbors50,bert,title,0.7458333333333333,0.83106,-0.08522666666666667
11,sep,neighbors50,bert,abstract,0.7458333333333333,0.29968000000000006,0.4461533333333333
11,sep,neighbors50,mpnet,title,0.5683977777777778,0.40988,0.15851777777777776
11,sep,neighbors50,mpnet,abstract,0.5683977777777778,0.14501999999999993,0.42337777777777785
11,sep,neighbors50,minilm,title,0.594337777777778,0.49817999999999996,0.09615777777777801
11,sep,neighbors50,minilm,abstract,0.594337777777778,0.18513999999999997,0.409197777777778
11,sep,neighbors50,pubmedbert,title,0.5827311111111111,0.6444799999999999,-0.06174888888888885
11,sep,neighbors50,pubmedbert,abstract,0.5827311111111111,0.12836000000000003,0.45437111111111106
11,sep,neighbors50,biobert,title,0.5904044444444444,0.6634,-0.07299555555555559
11,sep,neighbors50,biobert,abstract,0.5904044444444444,0.11802000000000001,0.4723844444444444
11,sep,neighbors50,simcse,title,0.6799022222222222,0.73914,-0.059237777777777834
11,sep,neighbors50,simcse,abstract,0.6799022222222222,0.20018000000000002,0.47972222222222216
12,mean,cka,specter,title,0.4589004983615051,0.35663234893841966,0.10226814942308543
12,mean,cka,specter,abstract,0.4589004983615051,0.07007637851671711,0.388824119844788
12,mean,cka,specter2,title,0.44118704741942527,0.3061721145590307,0.13501493286039457
12,mean,cka,specter2,abstract,0.44118704741942527,0.10182708051337275,0.3393599669060525
12,mean,cka,scincl,title,0.41658881281292853,0.3930010879924617,0.023587724820466838
12,mean,cka,scincl,abstract,0.41658881281292853,0.04222659438562215,0.3743622184273064
12,mean,cka,scibert,title,0.3875597654452848,0.6568258882477072,-0.26926612280242235
12,mean,cka,scibert,abstract,0.3875597654452848,0.020209116946062866,0.36735064849922194
12,mean,cka,bert,title,0.3743087399968958,0.5801533493692279,-0.20584460937233212
12,mean,cka,bert,abstract,0.3743087399968958,0.01685004172302318,0.3574586982738726
12,mean,cka,mpnet,title,0.4420086196371394,0.2771997757374537,0.1648088438996857
