field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,50,specter,title,biobert,title,model,0.25668,0.21751667017913595
11,50,specter,title,simcse,title,model,0.26558,0.22688558482613275
11,50,specter,title,specter,abstract,input,0.44520000000000004,0.4159692307692308
11,50,specter,title,specter,title_abstract,input,0.54604,0.5221221917808219
11,50,specter2,title,scincl,title,model,0.47946,0.45203428872497364
11,50,specter2,title,scibert,title,model,0.27264,0.23431755532139092
11,50,specter2,title,bert,title,model,0.26432,0.22555919915700737
11,50,specter2,title,mpnet,title,model,0.43498,0.4052107692307692
11,50,specter2,title,minilm,title,model,0.3818,0.3492288724973656
11,50,specter2,title,pubmedbert,title,model,0.31388,0.27773036880927293
11,50,specter2,title,biobert,title,model,0.23262,0.1921890200210748
11,50,specter2,title,simcse,title,model,0.24508,0.20530550052687035
11,50,specter2,title,specter2,abstract,input,0.4108,0.3797567966280295
11,50,specter2,title,specter2,title_abstract,input,0.51644,0.49096265542676504
11,50,scincl,title,scibert,title,model,0.30469999999999997,0.26806670179135933
11,50,scincl,title,bert,title,model,0.29516,0.25802406743940987
11,50,scincl,title,mpnet,title,model,0.4474,0.4182851422550053
11,50,scincl,title,minilm,title,model,0.40238,0.3708931717597471
11,50,scincl,title,pubmedbert,title,model,0.34908,0.31478495258166495
11,50,scincl,title,biobert,title,model,0.25764,0.21852724973656476
11,50,scincl,title,simcse,title,model,0.26358,0.2247802107481559
11,50,scincl,title,scincl,abstract,input,0.46684,0.4387493782929399
11,50,scincl,title,scincl,title_abstract,input,0.54878,0.5250065542676502
11,50,scibert,title,bert,title,model,0.33515999999999996,0.30013154899894623
11,50,scibert,title,mpnet,title,model,0.2681,0.22953835616438356
11,50,scibert,title,minilm,title,model,0.2515,0.21206375131717597
11,50,scibert,title,pubmedbert,title,model,0.42548,0.3952102423603794
11,50,scibert,title,biobert,title,model,0.30122,0.2644033508956797
11,50,scibert,title,simcse,title,model,0.23192000000000002,0.19145213909378292
11,50,scibert,title,scibert,abstract,input,0.2249,0.18406227608008427
11,50,scibert,title,scibert,title_abstract,input,0.24916,0.20960046364594306
11,50,bert,title,mpnet,title,model,0.31676,0.28076210748155955
11,50,bert,title,minilm,title,model,0.30802,0.27156162276080087
11,50,bert,title,pubmedbert,title,model,0.38795999999999997,0.35571342465753425
11,50,bert,title,biobert,title,model,0.29956,0.2626558904109589
