outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_cls,scincl,same_objective,7,7,True,0.18024934305069878,0.3829350019055777
cka_cls,scincl,same_domain,7,7,True,-0.028423094177716286,0.3829350019055777
cka_cls,scincl,same_pooling,7,7,True,0.05422386184421527,0.3829350019055777
cka_cls,scibert,intercept,7,7,True,0.5877855911692318,0.4809361898590431
cka_cls,scibert,same_architecture,7,7,True,-0.1517671721782619,0.4809361898590431
cka_cls,scibert,same_lineage,7,7,True,0.1063413195953723,0.4809361898590431
cka_cls,scibert,same_final_corpus_group,7,7,True,0.12815513262342304,0.4809361898590431
cka_cls,scibert,same_objective,7,7,True,0.1530840431668494,0.4809361898590431
cka_cls,scibert,same_domain,7,7,True,-0.052147819225322974,0.4809361898590431
cka_cls,scibert,same_pooling,7,7,True,0.016090890580571775,0.4809361898590431
cka_cls,bert,intercept,7,7,True,0.5780748180227849,0.5178769467947038
cka_cls,bert,same_architecture,7,7,True,-0.05245550034571892,0.5178769467947038
cka_cls,bert,same_lineage,7,7,True,0.007029647762829476,0.5178769467947038
cka_cls,bert,same_final_corpus_group,7,7,True,0.10058684995062621,0.5178769467947038
cka_cls,bert,same_objective,7,7,True,0.26854053943507084,0.5178769467947038
cka_cls,bert,same_domain,7,7,True,-0.054454430703422055,0.5178769467947038
cka_cls,bert,same_pooling,7,7,True,-0.05977993839030652,0.5178769467947038
cka_cls,mpnet,intercept,6,7,False,,0.529614931090965
cka_cls,mpnet,same_architecture,6,7,False,,0.529614931090965
cka_cls,mpnet,same_lineage,6,7,False,,0.529614931090965
cka_cls,mpnet,same_final_corpus_group,6,7,False,,0.529614931090965
cka_cls,mpnet,same_objective,6,7,False,,0.529614931090965
cka_cls,mpnet,same_domain,6,7,False,,0.529614931090965
cka_cls,mpnet,same_pooling,6,7,False,,0.529614931090965
cka_cls,minilm,intercept,6,7,False,,0.507774726227108
cka_cls,minilm,same_architecture,6,7,False,,0.507774726227108
cka_cls,minilm,same_lineage,6,7,False,,0.507774726227108
cka_cls,minilm,same_final_corpus_group,6,7,False,,0.507774726227108
cka_cls,minilm,same_objective,6,7,False,,0.507774726227108
cka_cls,minilm,same_domain,6,7,False,,0.507774726227108
cka_cls,minilm,same_pooling,6,7,False,,0.507774726227108
cka_cls,pubmedbert,intercept,7,7,True,0.6077260879339081,0.5107151801894338
cka_cls,pubmedbert,same_architecture,7,7,True,-0.13091057768094094,0.5107151801894338
cka_cls,pubmedbert,same_lineage,7,7,True,0.08548472509805126,0.5107151801894338
cka_cls,pubmedbert,same_final_corpus_group,7,7,True,0.24191142671166307,0.5107151801894338
cka_cls,pubmedbert,same_objective,7,7,True,0.11860185173305013,0.5107151801894338
cka_cls,pubmedbert,same_domain,7,7,True,-0.12472245026776453,0.5107151801894338
cka_cls,pubmedbert,same_pooling,7,7,True,-0.010549077796104433,0.5107151801894338
cka_cls,biobert,intercept,7,7,True,0.5954386047455756,0.4925458739323727
cka_cls,biobert,same_architecture,7,7,True,-0.1761159217314434,0.4925458739323727
cka_cls,biobert,same_lineage,7,7,True,0.130690069148554,0.4925458739323727
cka_cls,biobert,same_final_corpus_group,7,7,True,0.17636222277861216,0.4925458739323727
cka_cls,biobert,same_objective,7,7,True,0.16959275427943712,0.4925458739323727
cka_cls,biobert,same_domain,7,7,True,-0.1269932684660961,0.4925458739323727
cka_cls,biobert,same_pooling,7,7,True,0.018567524977223932,0.4925458739323727
cka_cls,simcse,intercept,7,7,True,0.5551587360574198,0.5400250198127436
cka_cls,simcse,same_architecture,7,7,True,-0.05894005784990852,0.5400250198127436
cka_cls,simcse,same_lineage,7,7,True,0.01351420526701879,0.5400250198127436
cka_cls,simcse,same_final_corpus_group,7,7,True,0.19447154860456226,0.5400250198127436
cka_cls,simcse,same_objective,7,7,True,0.23286374992321845,0.5400250198127436
cka_cls,simcse,same_domain,7,7,True,-0.06992941556700344,0.5400250198127436
cka_cls,simcse,same_pooling,7,7,True,-0.07959678070344402,0.5400250198127436
cka_sep,specter,intercept,7,7,True,0.5897319838692816,0.21333330502978975
cka_sep,specter,same_architecture,7,7,True,-0.0594562216196918,0.21333330502978975
cka_sep,specter,same_lineage,7,7,True,-0.02793809280409611,0.21333330502978975
cka_sep,specter,same_final_corpus_group,7,7,True,0.4186526986934354,0.21333330502978975
cka_sep,specter,same_objective,7,7,True,-0.013488862157422746,0.21333330502978975
cka_sep,specter,same_domain,7,7,True,-0.11696325809327994,0.21333330502978975
cka_sep,specter,same_pooling,7,7,True,-0.014031947066560656,0.21333330502978975
cka_sep,specter2,intercept,7,7,True,0.5927054872068868,0.2140283773161128
cka_sep,specter2,same_architecture,7,7,True,-0.05655808632815102,0.2140283773161128
cka_sep,specter2,same_lineage,7,7,True,-0.0326950437247771,0.2140283773161128
cka_sep,specter2,same_final_corpus_group,7,7,True,0.4243025114793642,0.2140283773161128
cka_sep,specter2,same_objective,7,7,True,-0.03171063186961101,0.2140283773161128
cka_sep,specter2,same_domain,7,7,True,-0.12023424881507493,0.2140283773161128
cka_sep,specter2,same_pooling,7,7,True,-0.00034382570977227337,0.2140283773161128
cka_sep,scincl,intercept,7,7,True,0.5884868864760632,0.19593813354586476
cka_sep,scincl,same_architecture,7,7,True,-0.05415868124733557,0.19593813354586476
cka_sep,scincl,same_lineage,7,7,True,-0.03708916902677943,0.19593813354586476
cka_sep,scincl,same_final_corpus_group,7,7,True,0.3915271171173153,0.19593813354586476
cka_sep,scincl,same_objective,7,7,True,-0.021693706446291112,0.19593813354586476
cka_sep,scincl,same_domain,7,7,True,-0.11325549420447856,0.19593813354586476
cka_sep,scincl,same_pooling,7,7,True,-0.008972327034516218,0.19593813354586476
cka_sep,scibert,intercept,7,7,True,0.6502596277109508,0.30399419354398893
cka_sep,scibert,same_architecture,7,7,True,-0.12735599516600896,0.30399419354398893
cka_sep,scibert,same_lineage,7,7,True,-0.033522292035425665,0.30399419354398893
cka_sep,scibert,same_final_corpus_group,7,7,True,0.4505975831088007,0.30399419354398893
cka_sep,scibert,same_objective,7,7,True,-0.003972714904830933,0.30399419354398893
cka_sep,scibert,same_domain,7,7,True,-0.18022478860671798,0.30399419354398893
cka_sep,scibert,same_pooling,7,7,True,0.0028974569704594087,0.30399419354398893
cka_sep,bert,intercept,7,7,True,0.6492986487921137,0.4853899217771668
cka_sep,bert,same_architecture,7,7,True,-0.021065565859279527,0.4853899217771668
cka_sep,bert,same_lineage,7,7,True,-0.06185262434881323,0.4853899217771668
cka_sep,bert,same_final_corpus_group,7,7,True,0.18799419249376828,0.4853899217771668
cka_sep,bert,same_objective,7,7,True,0.19893082976056362,0.4853899217771668
cka_sep,bert,same_domain,7,7,True,-0.07270458609535765,0.4853899217771668
cka_sep,bert,same_pooling,7,7,True,-0.10243199341743245,0.4853899217771668
cka_sep,mpnet,intercept,7,7,True,0.5838319219930104,0.20978751301992904
cka_sep,mpnet,same_architecture,7,7,True,-0.06647580237982913,0.20978751301992904
cka_sep,mpnet,same_lineage,7,7,True,-0.055430449454212764,0.20978751301992904
cka_sep,mpnet,same_final_corpus_group,7,7,True,0.39606414494357467,0.20978751301992904
cka_sep,mpnet,same_objective,7,7,True,-0.029770984221806508,0.20978751301992904
cka_sep,mpnet,same_domain,7,7,True,-0.049121815051093545,0.20978751301992904
cka_sep,mpnet,same_pooling,7,7,True,0.008444969902220508,0.20978751301992904
cka_sep,minilm,intercept,7,7,True,0.6097270290359311,0.21728916638643903
