sep: Field 26, 2005, n=2,166, 2.1s
sep: Field 26, 2010, n=2,166, 1.7s
sep: Field 26, 2015, n=2,166, 1.8s
sep: Field 26, 2020, n=2,166, 2.3s
sep: Field 27, 2000, n=7,128, 3.3s
sep: Field 27, 2005, n=10,946, 4.5s
sep: Field 27, 2010, n=15,771, 7.0s
sep: Field 27, 2015, n=18,629, 5.7s
sep: Field 27, 2020, n=26,195, 15.1s
sep: Field 28, 2000, n=2,166, 1.8s
sep: Field 28, 2005, n=2,166, 2.4s
sep: Field 28, 2010, n=2,166, 1.6s
sep: Field 28, 2015, n=2,166, 1.6s
sep: Field 28, 2020, n=2,166, 1.6s
sep: Field 29, 2000, n=2,166, 1.5s
sep: Field 29, 2005, n=2,166, 1.5s
sep: Field 29, 2010, n=2,166, 1.6s
sep: Field 29, 2015, n=2,166, 2.2s
sep: Field 29, 2020, n=2,166, 1.8s
sep: Field 30, 2000, n=2,166, 2.0s
sep: Field 30, 2005, n=2,166, 1.9s
sep: Field 30, 2010, n=2,166, 1.8s
sep: Field 30, 2015, n=2,166, 1.9s
sep: Field 30, 2020, n=2,166, 1.7s
sep: Field 31, 2000, n=2,166, 1.9s
sep: Field 31, 2005, n=2,704, 2.3s
sep: Field 31, 2010, n=3,094, 2.0s
sep: Field 31, 2015, n=3,388, 2.4s
sep: Field 31, 2020, n=3,470, 2.3s
sep: Field 32, 2000, n=2,166, 1.7s
sep: Field 32, 2005, n=2,166, 2.3s
sep: Field 32, 2010, n=2,166, 2.3s
sep: Field 32, 2015, n=2,577, 1.9s
sep: Field 32, 2020, n=3,970, 2.7s
sep: Field 33, 2000, n=2,776, 2.1s
sep: Field 33, 2005, n=4,893, 3.2s
sep: Field 33, 2010, n=7,110, 3.5s
sep: Field 33, 2015, n=8,891, 3.4s
sep: Field 33, 2020, n=13,879, 5.4s
sep: Field 34, 2000, n=2,166, 2.3s
sep: Field 34, 2005, n=2,166, 2.0s
sep: Field 34, 2010, n=2,165, 2.2s
sep: Field 34, 2015, n=2,165, 1.9s
sep: Field 34, 2020, n=2,165, 1.9s
sep: Field 35, 2000, n=2,165, 2.1s
sep: Field 35, 2005, n=2,165, 2.1s
sep: Field 35, 2010, n=2,165, 2.3s
sep: Field 35, 2015, n=2,165, 2.2s
sep: Field 35, 2020, n=2,165, 2.3s
sep: Field 36, 2000, n=2,165, 1.8s
sep: Field 36, 2005, n=2,165, 2.2s
sep: Field 36, 2010, n=2,165, 2.1s
sep: Field 36, 2015, n=2,165, 1.9s
sep: Field 36, 2020, n=2,833, 2.4s
quality: Field 11, 2000, n=1,869, 13.7s
quality: Field 11, 2005, n=2,201, 1.5s
quality: Field 11, 2010, n=3,571, 1.7s
quality: Field 11, 2015, n=4,020, 1.8s
quality: Field 11, 2020, n=6,216, 2.6s
quality: Field 12, 2000, n=1,553, 1.4s
quality: Field 12, 2005, n=1,611, 1.4s
quality: Field 12, 2010, n=1,812, 1.6s
quality: Field 12, 2015, n=2,410, 1.9s
quality: Field 12, 2020, n=2,980, 2.2s
quality: Field 13, 2000, n=2,516, 1.7s
quality: Field 13, 2005, n=3,735, 2.9s
quality: Field 13, 2010, n=4,885, 2.2s
quality: Field 13, 2015, n=5,330, 3.0s
quality: Field 13, 2020, n=6,582, 3.9s
quality: Field 14, 2000, n=1,667, 1.9s
quality: Field 14, 2005, n=1,715, 1.5s
quality: Field 14, 2010, n=1,900, 1.7s
quality: Field 14, 2015, n=2,480, 1.7s
quality: Field 14, 2020, n=3,872, 2.8s
quality: Field 15, 2000, n=1,831, 1.6s
quality: Field 15, 2005, n=1,881, 1.6s
quality: Field 15, 2010, n=1,930, 1.6s
quality: Field 15, 2015, n=2,003, 1.5s
quality: Field 15, 2020, n=2,058, 2.1s
quality: Field 16, 2000, n=1,643, 2.0s
quality: Field 16, 2005, n=1,643, 1.9s
quality: Field 16, 2010, n=1,731, 2.0s
quality: Field 16, 2015, n=1,784, 1.8s
quality: Field 16, 2020, n=1,904, 1.6s
quality: Field 17, 2000, n=2,540, 1.9s
quality: Field 17, 2005, n=4,412, 2.8s
quality: Field 17, 2010, n=5,961, 2.5s
quality: Field 17, 2015, n=6,275, 3.7s
quality: Field 17, 2020, n=9,517, 5.3s
quality: Field 18, 2000, n=1,741, 1.8s
quality: Field 18, 2005, n=1,782, 1.8s
quality: Field 18, 2010, n=1,895, 1.8s
quality: Field 18, 2015, n=1,978, 2.0s
quality: Field 18, 2020, n=2,053, 2.2s
quality: Field 19, 2000, n=1,872, 1.9s
quality: Field 19, 2005, n=1,919, 1.8s
quality: Field 19, 2010, n=1,958, 2.1s
quality: Field 19, 2015, n=2,017, 1.7s
quality: Field 19, 2020, n=2,083, 1.8s
quality: Field 20, 2000, n=1,689, 2.0s
quality: Field 20, 2005, n=1,760, 1.7s
quality: Field 20, 2010, n=1,872, 2.1s
quality: Field 20, 2015, n=1,979, 2.1s
quality: Field 20, 2020, n=2,678, 2.3s
quality: Field 21, 2000, n=1,685, 1.5s
quality: Field 21, 2005, n=1,760, 1.5s
quality: Field 21, 2010, n=1,882, 1.6s
quality: Field 21, 2015, n=2,021, 1.5s
quality: Field 21, 2020, n=2,095, 1.6s
quality: Field 22, 2000, n=5,450, 2.6s
quality: Field 22, 2005, n=9,042, 3.4s
quality: Field 22, 2010, n=13,005, 5.2s
