metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
pr,simcse,13,"Biochemistry, Genetics and Molecular Biology",external,5,2000,34.46352541112241,34.356372020775126,34.304026382729226,34.676629149814055,0.010811510506832192,0.0031091825072748895,True,True,True
pr,simcse,14,"Business, Management and Accounting",half,20,2000,42.76069398501965,41.77444264446211,41.15545411994827,42.45884268381346,0.03048099650398113,0.023064437188579083,True,True,True
pr,simcse,14,"Business, Management and Accounting",external,5,2000,42.76069398501965,43.168352852457275,42.72031923289402,43.75652245114865,0.024232609943553307,0.009533495120084825,True,True,True
pr,simcse,15,Chemical Engineering,half,20,2000,30.011548396901997,29.5492172225123,29.114956025586654,29.90157526030298,0.026210551495487875,0.015405109002553876,True,True,True
pr,simcse,15,Chemical Engineering,external,5,2000,30.011548396901997,30.0589753752848,29.728176442809904,30.281387737114965,0.018433280648797436,0.001580290951855647,True,True,True
pr,simcse,16,Chemistry,half,20,2000,27.52578103807633,27.339175361988943,26.64905360526633,27.92175616860799,0.046236746618783714,0.006779305402061354,True,True,True
pr,simcse,16,Chemistry,external,5,2000,27.52578103807633,27.248364294181535,26.893781159121044,27.571439873749632,0.024619054903153706,0.010078433142770672,True,True,True
pr,simcse,17,Computer Science,half,20,2000,38.89016584420782,38.323384318108666,37.53727646266201,39.096876529443456,0.040102684905719714,0.014573903551084256,True,True,True
pr,simcse,17,Computer Science,external,5,2000,38.89016584420782,39.30635693293158,38.757075983924075,39.747325616053985,0.025462725875142915,0.0107017051660566,True,True,True
pr,simcse,18,Decision Sciences,half,20,2000,40.470721816570695,39.65255469728268,39.000294596136946,40.09763011437975,0.027114305576667476,0.02021627197548563,True,True,True
pr,simcse,18,Decision Sciences,external,5,2000,40.470721816570695,40.48202614315792,40.20476798022969,40.9422536400942,0.018222695982717765,0.0002793211012755792,True,True,True
pr,simcse,19,Earth and Planetary Sciences,half,20,2000,36.328939339815435,35.431494418157456,35.09391378217808,36.143476866804335,0.028890551271227655,0.02470330645393783,True,True,True
pr,simcse,19,Earth and Planetary Sciences,external,5,2000,36.328939339815435,36.886401298033384,36.53594599355279,37.36469389609302,0.02281233412261924,0.015344845413832044,True,True,True
pr,simcse,20,"Economics, Econometrics and Finance",half,20,2000,44.439896040579406,43.23367409876742,42.7142229666764,44.1957739737647,0.03333830947163897,0.02714277145721819,True,True,True
pr,simcse,20,"Economics, Econometrics and Finance",external,5,2000,44.439896040579406,45.28090706298356,44.680037600336384,45.49343973325793,0.01830342114614318,0.01892468473905071,True,True,True
pr,simcse,21,Energy,half,20,2000,26.12952212229402,25.581567440213036,25.233322360531954,26.310371499129882,0.041219626350494074,0.020970711960073045,True,True,True
