recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
cls,25,11,scibert,50,0.07906986666666667,0.07921111111111112,0.07355000000000003,0.0840993333333333,0.0732044444444444,0.08568444444444445,1.0,0.0
cls,25,11,bert,50,0.09942471111111109,0.09900222222222216,0.09326655555555552,0.1046281111111111,0.09101333333333328,0.10482666666666662,1.0,0.0
cls,25,11,mpnet,50,-0.1986591111111111,-0.1983066666666667,-0.20813155555555546,-0.1898314444444445,-0.20948,-0.1891911111111112,0.0,1.0
cls,25,11,minilm,50,-0.1422032,-0.1420088888888889,-0.1501002222222222,-0.13427511111111104,-0.15244888888888897,-0.13313333333333333,0.0,1.0
cls,25,11,pubmedbert,50,0.09340471111111111,0.09298888888888895,0.08836333333333335,0.10124155555555556,0.0878888888888888,0.10357777777777777,1.0,0.0
cls,25,11,biobert,50,0.10570604444444445,0.10598222222222226,0.09714711111111106,0.11220566666666679,0.09374666666666664,0.11254666666666668,1.0,0.0
cls,25,11,simcse,50,0.045533066666666656,0.04558444444444448,0.03850088888888886,0.05414955555555548,0.037719999999999976,0.05659555555555562,1.0,0.0
sep,25,11,specter,50,-0.1116799111111111,-0.11155555555555557,-0.12181944444444459,-0.10324122222222219,-0.1267422222222222,-0.09705333333333332,0.0,1.0
sep,25,11,specter2,50,-0.13568053333333333,-0.13468666666666668,-0.1456954444444444,-0.1233875555555556,-0.15427111111111114,-0.12019111111111125,0.0,1.0
sep,25,11,scincl,50,-0.12724364444444444,-0.1269466666666666,-0.13497511111111107,-0.11475311111111115,-0.13761777777777773,-0.11184444444444441,0.0,1.0
sep,25,11,scibert,50,0.08896666666666665,0.08905111111111108,0.08263999999999994,0.09689288888888893,0.07460444444444458,0.09754666666666678,1.0,0.0
sep,25,11,bert,50,0.07809173333333334,0.07812000000000002,0.07208955555555552,0.08414966666666658,0.070448888888889,0.08833333333333337,1.0,0.0
sep,25,11,mpnet,50,-0.15847315555555558,-0.15776444444444443,-0.16917888888888882,-0.15113588888888893,-0.1698844444444445,-0.1483377777777778,0.0,1.0
sep,25,11,minilm,50,-0.10569697777777776,-0.1057844444444444,-0.11441466666666664,-0.0968412222222222,-0.11545777777777766,-0.09659111111111107,0.0,1.0
sep,25,11,pubmedbert,50,0.07223555555555555,0.07193777777777771,0.0642708888888889,0.08078077777777766,0.0640222222222222,0.08290666666666668,1.0,0.0
sep,25,11,biobert,50,0.0739103111111111,0.07302222222222227,0.0634444444444444,0.08366422222222235,0.06114222222222232,0.08411111111111114,1.0,0.0
sep,25,11,simcse,50,0.06825493333333332,0.0682955555555555,0.06163266666666668,0.0768141111111111,0.06001333333333336,0.08024444444444434,1.0,0.0
mean,10,12,specter,50,0.00277333333333333,0.0018388888888888344,-0.006589722222222208,0.014846666666666602,-0.013088888888888928,0.015122222222222148,0.68,0.32
mean,10,12,specter2,50,-0.04232222222222221,-0.04174444444444453,-0.05411333333333322,-0.03118749999999999,-0.06024444444444432,-0.02293333333333325,0.0,1.0
mean,10,12,scincl,50,0.021352222222222213,0.021661111111111075,0.00917611111111108,0.03484416666666669,0.00869999999999993,0.0367777777777778,1.0,0.0
mean,10,12,scibert,50,0.16834177777777776,0.16807777777777783,0.16060861111111108,0.17827722222222228,0.15694444444444444,0.17836666666666667,1.0,0.0
mean,10,12,bert,50,0.1206991111111111,0.12063888888888896,0.11119999999999998,0.13004083333333336,0.10603333333333342,0.1314777777777778,1.0,0.0
mean,10,12,mpnet,50,-0.10635777777777777,-0.10663333333333341,-0.11694499999999998,-0.09377444444444435,-0.11912222222222235,-0.0921333333333334,0.0,1.0
mean,10,12,minilm,50,-0.05075933333333334,-0.0509444444444444,-0.060521111111111046,-0.043208611111110996,-0.06232222222222217,-0.04225555555555549,0.0,1.0
mean,10,12,pubmedbert,50,0.16440933333333332,0.16474444444444447,0.1579119444444444,0.17164333333333326,0.1564333333333333,0.1726444444444445,1.0,0.0
mean,10,12,biobert,50,0.1671822222222222,0.1662277777777778,0.15827527777777778,0.17652694444444447,0.15496666666666659,0.17759999999999998,1.0,0.0
mean,10,12,simcse,50,0.10221822222222222,0.10167222222222222,0.09544472222222218,0.11298361111111108,0.09168888888888882,0.114288888888889,1.0,0.0
mean,25,12,specter,50,-0.008450311111111107,-0.009091111111111105,-0.01964177777777783,0.0028687777777777735,-0.02310666666666661,0.0032488888888888567,0.12,0.88
mean,25,12,specter2,50,-0.05160053333333332,-0.05185555555555549,-0.0642836666666667,-0.03783166666666666,-0.0703866666666666,-0.03435555555555547,0.0,1.0
mean,25,12,scincl,50,0.021441422222222242,0.02101333333333333,0.01022288888888891,0.03021300000000004,0.008284444444444539,0.03298222222222236,1.0,0.0
mean,25,12,scibert,50,0.17991715555555557,0.17969333333333326,0.17211655555555555,0.1900162222222223,0.16971999999999998,0.19166666666666665,1.0,0.0
mean,25,12,bert,50,0.12153368888888888,0.12105777777777776,0.11258655555555562,0.1315294444444445,0.10962222222222229,0.13217333333333325,1.0,0.0
mean,25,12,mpnet,50,-0.1117023111111111,-0.11251333333333335,-0.12385400000000002,-0.09888711111111097,-0.12600888888888906,-0.09650666666666674,0.0,1.0
mean,25,12,minilm,50,-0.05326977777777778,-0.05340666666666666,-0.06255588888888873,-0.04490977777777779,-0.06352888888888875,-0.039555555555555455,0.0,1.0
mean,25,12,pubmedbert,50,0.17530248888888889,0.17451777777777783,0.16815122222222223,0.18100555555555553,0.16664888888888885,0.18703111111111104,1.0,0.0
