scope,k,field_id,n,mean,median,p025,p975,min,max
2048,50,24,135,0.026666666666666505,0.05999999999999339,-0.4849999999999982,0.41999999999999815,-0.7199999999999984,0.5799999999999972
all,10,25,225,0.5172763218950445,0.4579339723109699,0.052950380177689826,1.1986813291153242,0.003434065934065922,1.5507726269315651
all,25,25,225,0.6665218236127696,0.6089913109180195,0.08615043019705892,1.4802333044171267,0.06217041354426578,1.8543046357615889
all,50,25,225,0.8220073107718511,0.7404608991310957,0.12568681318681274,1.801703940362087,0.05495420482931057,2.3178807947019875
1024,10,25,225,0.05155555555555566,0.0,-1.240000000000001,1.9000000000000001,-2.200000000000002,2.400000000000002
1024,25,25,225,0.2512000000000001,0.16000000000000458,-0.6720000000000037,1.5120000000000011,-1.1200000000000043,2.4799999999999986
1024,50,25,225,0.25164444444444434,0.20000000000000018,-0.6599999999999961,1.4639999999999969,-1.16,1.9800000000000013
2048,10,25,135,0.157037037037037,0.20000000000000018,-1.200000000000001,1.5000000000000004,-2.100000000000002,1.9000000000000017
2048,25,25,135,0.15851851851851817,0.15999999999999903,-0.6000000000000005,1.025999999999999,-1.0800000000000032,1.319999999999999
2048,50,25,135,0.3173333333333329,0.3599999999999992,-0.5729999999999943,1.2389999999999988,-0.7199999999999984,1.6799999999999982
all,10,26,225,1.917820049146146,1.8607764390896953,0.9198361614979517,3.104,0.5558806319485077,3.3720087019579403
all,25,26,225,2.7192394528376784,2.7827317763623487,1.2999414862492709,3.94296328894036,1.0438853130485704,4.351026185421092
all,50,26,225,3.5793043874164394,3.788487282463188,1.6507899356348754,4.9358576336614535,1.376243417203038,5.24699221514508
1024,10,26,225,0.2991111111111111,0.30000000000000027,-1.8000000000000016,2.9400000000000004,-4.399999999999999,4.999999999999999
1024,25,26,225,0.5203555555555555,0.6000000000000005,-1.6079999999999994,2.536000000000001,-2.639999999999998,4.560000000000003
1024,50,26,225,0.567911111111111,0.6599999999999995,-1.1959999999999993,2.3759999999999963,-2.52,2.72
all,10,27,225,0.28136487473157595,0.24106466908395685,0.02740349081812421,0.8405752753977963,0.009164441965173187,0.9446384039900252
all,25,27,225,0.3351203860573891,0.28472340667462515,0.04666262775645636,0.9658506731946126,0.024066621508544994,1.0875152998776005
all,50,27,225,0.3799868019639966,0.3149695832622673,0.05339283579710585,1.118930348547237,0.03434673466948257,1.3433292533659742
1024,10,27,225,0.1480000000000001,0.10000000000000009,-1.0000000000000009,1.4000000000000012,-1.699999999999996,2.1999999999999993
1024,25,27,225,0.16604444444444458,0.1600000000000018,-0.9599999999999997,1.2080000000000009,-1.639999999999997,1.7199999999999993
1024,50,27,225,0.1961777777777779,0.22000000000000075,-0.8440000000000003,1.2679999999999998,-1.1400000000000021,2.059999999999998
2048,10,27,225,0.031111111111110937,0.0,-1.040000000000001,1.139999999999999,-1.5999999999999988,1.899999999999999
2048,25,27,225,0.18417777777777777,0.1600000000000018,-0.7199999999999984,1.0160000000000016,-1.040000000000002,1.479999999999998
2048,50,27,225,0.21671111111111113,0.1600000000000018,-0.44000000000000034,1.1720000000000006,-0.7399999999999962,1.6199999999999992
all,10,28,225,0.2851754367606463,0.26947574718275136,0.009661835748795422,0.6918177364037232,-0.047483380816715215,0.7843137254901961
all,25,28,225,0.34357910740440634,0.33808167141500534,0.04538964303670179,0.7937254901960813,0.013725490196070389,0.9642332190102909
all,50,28,225,0.3804096361929238,0.3758967001434743,0.05788375342515639,0.9105882352941153,0.045098039215685226,1.0328270455658983
1024,10,28,225,0.09466666666666658,0.10000000000000009,-1.100000000000001,1.2999999999999945,-1.3999999999999986,1.5000000000000013
1024,25,28,225,0.04995555555555505,0.03999999999999837,-0.7359999999999989,0.9520000000000011,-1.0000000000000009,1.2400000000000022
